City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
138,Muisne,0.6,-80.0333,74.95,79,100,6.04,EC,overcast clouds
139,Bandarbeyla,9.4942,50.8122,76.24,86,14,18.79,SO,few clouds
140,Port Macquarie,-31.4333,152.9167,59.43,92,100,3.71,AU,overcast clouds
141,Sisimiut,66.9395,-53.6735,30.24,89,99,6.42,GL,light snow
142,Hay River,60.8156,-115.7999,44.58,65,40,13.8,CA,scattered clouds
143,Khorixas,-20.3667,14.9667,63.12,28,0,3.27,NA,clear sky
144,Sorland,67.667,12.6934,46.26,87,100,33.24,NO,overcast clouds
145,Wilmington,34.2257,-77.9447,58.91,91,0,0.0,US,clear sky
146,Saint George,37.1041,-113.5841,79.39,25,0,3.44,US,clear sky
147,Port Hedland,-20.3167,118.5667,84.25,54,9,12.66,AU,clear sky
148,Hasaki,35.7333,140.8333,55.8,85,100,24.85,JP,overcast clouds
149,Kavaratti,10.5669,72.642,81.63,76,100,15.19,IN,overcast clouds
150,Vandoeuvre-Les-Nancy,48.65,6.1833,57.58,86,100,5.75,FR,overcast clouds
151,Binzhou,37.3667,118.0167,57.76,43,99,3.65,CN,overcast clouds
152,Mahebourg,-20.4081,57.7,73.26,78,75,12.66,MU,broken clouds
153,Okmulgee,35.6234,-95.9605,72.84,56,75,4.61,US,broken clouds
154,Bokaa,-24.45,26.0167,70.29,52,0,10.36,BW,clear sky
155,Schlitz,50.6742,9.561,60.48,86,84,10.2,DE,broken clouds
156,Hofn,64.2539,-15.2082,42.51,57,54,10.09,IS,broken clouds
157,Gazli,40.1333,63.45,54.77,23,0,13.85,UZ,clear sky
158,Itarema,-2.9248,-39.9167,78.1,82,11,15.48,BR,few clouds
159,Kavieng,-2.5744,150.7967,84.67,71,80,13.27,PG,light rain
160,Te Anau,-45.4167,167.7167,42.3,83,100,3.76,NZ,overcast clouds
161,Maneadero,31.7167,-116.5667,67.1,85,25,1.01,MX,scattered clouds
162,Sao Joao Da Barra,-21.6403,-41.0511,70.75,86,80,9.57,BR,broken clouds
163,Yellowknife,62.456,-114.3525,39.56,63,39,18.01,CA,scattered clouds
164,Aklavik,68.2191,-135.0107,35.98,84,89,13.42,CA,overcast clouds
165,Bredasdorp,-34.5322,20.0403,48.18,91,3,7.65,ZA,clear sky
166,Arrifes,37.7667,-25.7,68.23,88,40,8.05,PT,scattered clouds
167,Butaritari,3.0707,172.7902,82.45,72,6,14.45,KI,clear sky
168,Huarmey,-10.0681,-78.1522,61.48,82,56,9.95,PE,broken clouds
169,Umm Kaddadah,13.6017,26.6876,84.38,46,98,6.49,SD,overcast clouds
170,Brigantine,39.4101,-74.3646,59.2,95,100,5.75,US,overcast clouds
171,Pisco,-13.7,-76.2167,57.25,82,40,3.44,PE,smoke
172,Fairbanks,64.8378,-147.7164,43.83,73,75,0.0,US,broken clouds
173,Isangel,-19.55,169.2667,80.71,78,75,11.5,VU,broken clouds
174,East London,-33.0153,27.9116,63.23,86,77,11.79,ZA,broken clouds
175,Chernyshevskiy,63.0128,112.4714,29.59,77,100,7.18,RU,overcast clouds
176,Chokurdakh,70.6333,147.9167,21.79,89,98,8.61,RU,overcast clouds
177,Vila Velha,-20.3297,-40.2925,75.15,88,100,6.91,BR,overcast clouds
178,Copiapo,-27.3667,-70.3333,49.69,66,0,0.65,CL,clear sky
179,Villa Bruzual,9.3328,-69.1208,72.88,93,100,3.96,VE,overcast clouds
180,Guayaramerin,-10.8368,-65.3614,77.22,69,0,1.34,BO,clear sky
181,Port Lincoln,-34.7333,135.8667,68.34,58,2,7.65,AU,clear sky
182,Guadalupe Victoria,32.2869,-115.105,89.94,42,4,12.8,MX,clear sky
183,Lagoa,39.05,-27.9833,68.67,88,98,17.85,PT,light rain
184,Georgetown,5.4112,100.3354,85.93,79,20,3.44,MY,light rain
185,Straumen,63.8709,11.2999,41.0,76,33,5.73,NO,scattered clouds
186,Morris,40.8334,-74.5329,56.37,95,0,5.01,US,clear sky
187,Puerto Ayora,-0.7393,-90.3518,65.55,97,79,5.99,EC,broken clouds
188,Langsa,4.4683,97.9683,85.12,70,87,1.83,ID,overcast clouds
189,San Patricio,28.017,-97.5169,82.83,61,6,7.45,US,clear sky
190,Koshurnikovo,54.1667,93.3,31.59,91,100,2.42,RU,overcast clouds
191,Upernavik,72.7868,-56.1549,19.26,89,100,5.21,GL,overcast clouds
192,Ous,60.9058,61.5186,41.95,69,100,4.43,RU,overcast clouds
193,Kropotkin,45.4375,40.5756,51.42,74,5,3.36,RU,clear sky
